SnesAddressHex,SnesAddress,Name,Comment,UsedStatus
$808B3C,8424252,DATA8_808B3C,,USED
$808B44,8424260,DATA8_808B44,,USED
$808B4F,8424271,DATA8_808B4F,,USED
$808B5A,8424282,DATA8_808B5A,,USED
$808B65,8424293,DATA8_808B65,,USED
$808B70,8424304,DATA8_808B70,,USED
$808B7B,8424315,DATA8_808B7B,,USED
$808B86,8424326,DATA8_808B86,,USED
$808B91,8424337,DATA8_808B91,,USED
$808B9C,8424348,DATA8_808B9C,,USED
$808BA7,8424359,DATA8_808BA7,,USED
$808BB2,8424370,DATA8_808BB2,,USED
$808BBD,8424381,DATA8_808BBD,,USED
$808BC8,8424392,DATA8_808BC8,,USED
$808BD3,8424403,DATA8_808BD3,,USED
$808BDE,8424414,DATA8_808BDE,,USED
$808BE9,8424425,DATA8_808BE9,,USED
$808BF4,8424436,DATA8_808BF4,,USED
$808BFF,8424447,DATA8_808BFF,,USED
$808C0A,8424458,DATA8_808C0A,,USED
$808C15,8424469,DATA8_808C15,,USED
$808C20,8424480,DATA8_808C20,,USED
$808C2B,8424491,DATA8_808C2B,,USED
$808C36,8424502,DATA8_808C36,,USED
$808C41,8424513,DATA8_808C41,,USED
$808C4C,8424524,CODE_808C4C,,USED
$808C59,8424537,CODE_808C59,,USED
$808D24,8424740,CODE_808D24,,USED
$808D3B,8424763,CODE_808D3B,,USED
$808E0F,8424975,CODE_808E0F,,USED
$808E1E,8424990,CODE_808E1E,,USED
$808E2D,8425005,CODE_808E2D,,USED
$808E36,8425014,CODE_808E36,,USED
$808E48,8425032,CODE_808E48,,USED
$808E69,8425065,CODE_808E69,,USED
$808E81,8425089,CODE_808E81,,USED
$808E9D,8425117,CODE_808E9D,,USED
$808EBC,8425148,CODE_808EBC,,USED
$808EC4,8425156,CODE_808EC4,,USED
$808ED0,8425168,CODE_808ED0,,USED
$808F19,8425241,CODE_808F19,,USED
$808F2C,8425260,CODE_808F2C,,USED
$808F51,8425297,CODE_808F51,,USED
$808F52,8425298,CODE_808F52,,USED
$808F57,8425303,CODE_808F57,,USED
$808F62,8425314,CODE_808F62,,USED
$808F92,8425362,CODE_808F92,,USED
$808F94,8425364,CODE_808F94,,USED
$808FAB,8425387,CODE_808FAB,,USED
$808FB0,8425392,CODE_808FB0,,USED
$808FC7,8425415,CODE_808FC7,,USED
$808FF2,8425458,CODE_808FF2,,USED
$80900B,8425483,CODE_80900B,,USED
$80900C,8425484,CODE_80900C,,USED
$80901A,8425498,CODE_80901A,,USED
$809029,8425513,CODE_809029,,USED
$809039,8425529,CODE_809039,,USED
$809054,8425556,CODE_809054,,USED
$80905B,8425563,CODE_80905B,,USED
$809074,8425588,CODE_809074,,USED
$80908F,8425615,CODE_80908F,,USED
$809091,8425617,CODE_809091,,USED
$809097,8425623,CODE_809097,,USED
$8090BB,8425659,CODE_8090BB,,USED
$8090BD,8425661,CODE_8090BD,,USED
$8090C3,8425667,CODE_8090C3,,USED
$8090F1,8425713,CODE_8090F1,,USED
$8090F3,8425715,CODE_8090F3,,USED
$8090F9,8425721,CODE_8090F9,,USED
$809130,8425776,CODE_809130,,USED
$809156,8425814,CODE_809156,,USED
$809157,8425815,CODE_809157,,USED
$809166,8425830,CODE_809166,,USED
$80916F,8425839,CODE_80916F,,USED
$809194,8425876,UNREACH_809194,,USED
$80919C,8425884,CODE_80919C,,USED
$80919D,8425885,CODE_80919D,,USED
$8091C6,8425926,CODE_8091C6,,USED
$8091CE,8425934,CODE_8091CE,,USED
$8091CF,8425935,CODE_8091CF,,USED
$8091F5,8425973,CODE_8091F5,,USED
$809208,8425992,CODE_809208,,USED
$80922E,8426030,CODE_80922E,,USED
$809241,8426049,CODE_809241,,USED
$809288,8426120,CODE_809288,,USED
$8092C9,8426185,CODE_8092C9,,USED
$8092E2,8426210,CODE_8092E2,,USED
$809301,8426241,CODE_809301,,USED
$809329,8426281,CODE_809329,,USED
$809358,8426328,CODE_809358,,USED
$80936E,8426350,UNREACH_80936E,,USED
$809380,8426368,UNREACH_809380,,USED
$809392,8426386,UNREACH_809392,,USED
$8093A4,8426404,CODE_8093A4,,USED
$8093C0,8426432,CODE_8093C0,,USED
$8093C7,8426439,CODE_8093C7,,USED
$8093D3,8426451,CODE_8093D3,,USED
$8093DF,8426463,CODE_8093DF,,USED
$8093F1,8426481,CODE_8093F1,,USED
$809457,8426583,CODE_809457,,USED
$809460,8426592,CODE_809460,,USED
$80946B,8426603,CODE_80946B,,USED
$80949A,8426650,CODE_80949A,,USED
$8094A1,8426657,UNREACH_8094A1,,USED
$8094A8,8426664,UNREACH_8094A8,,USED
$8094AF,8426671,UNREACH_8094AF,,USED
$8094B6,8426678,CODE_8094B6,,USED
$8094BD,8426685,CODE_8094BD,,USED
$809500,8426752,CODE_809500,,USED
$809501,8426753,CODE_809501,,USED
$809520,8426784,CODE_809520,,USED
$809552,8426834,CODE_809552,,USED
$809553,8426835,CODE_809553,,USED
$809572,8426866,CODE_809572,,USED
$80959E,8426910,CODE_80959E,,USED
$8095B2,8426930,CODE_8095B2,,USED
$8095B3,8426931,CODE_8095B3,,USED
$8095DD,8426973,CODE_8095DD,,USED
$8095DE,8426974,CODE_8095DE,,USED
$8095F5,8426997,CODE_8095F5,,USED
$80960E,8427022,CODE_80960E,,USED
$809639,8427065,CODE_809639,,USED
$80964D,8427085,CODE_80964D,,USED
$809656,8427094,CODE_809656,,USED
$80965F,8427103,CODE_80965F,,USED
$809668,8427112,CODE_809668,,USED
$809669,8427113,CODE_809669,,USED
